1, 0.2, 0.2, 0.15, 0.1, 0.1, 0
1025, 1.5, 0.3, 0.316277, 0.0906433, 0, 0
2049, 7, 3.8, 0.55639, 0.101415, 0, 0
3073, 6.9, 0.4, 0.802505, 0.101236, 0, 0
4097, 7.4, 0.2, 1.0685, 0.103612, 0, 0
5121, 14.3, 0.9, 1.28977, 0.103885, 0, 0
6145, 48.3, 139.1, 1.54476, 0.126798, 0, 0
7169, 156.3, 1, 1.80782, 0.104644, 0, 0
8193, 561.4, 4.8, 2.17171, 0.108616, 0, 0
9217, 401.7, 6.8, 2.5224, 0.120059, 0, 0
10241, 199, 2.1, 2.56833, 0.110594, 0, 0
11265, 156.1, 11.5, 2.8122, 0.11785, 0, 0
12289, 340.9, 243.1, 3.18885, 0.144614, 0, 0
13313, 418.3, 32.6, 3.48276, 0.129533, 0, 0
14337, 147.5, 12.9, 3.6481, 0.122604, 0, 0
15361, 858.4, 8.6, 4.00594, 0.12402, 0, 0
16385, 235.7, 14.3, 4.33989, 0.133028, 0, 0
17409, 3364.1, 32.8, 4.67435, 0.128082, 0, 0
18433, 314.6, 55.1, 4.7176, 0.132635, 0, 0
19457, 398.5, 15.8, 4.97267, 0.131262, 0, 0
20481, 255.2, 18.1, 5.23748, 0.130393, 0, 0
21505, 372.8, 13.3, 5.42882, 0.131866, 0, 0
22529, 334, 20.2, 5.66505, 0.134292, 0, 0
23553, 755.1, 254.7, 5.98469, 0.151681, 0, 0
24577, 355.9, 94.2, 6.24893, 0.143506, 0, 0
25601, 112.8, 41.7, 6.34559, 0.134236, 0, 0
26625, 3498.2, 13.3, 6.9204, 0.137144, 0, 0
27649, 898.7, 17.2, 7.16234, 0.14149, 0, 0
28673, 670.2, 26.4, 7.46125, 0.144873, 0, 0
29697, 1286.8, 32.4, 7.65336, 0.141006, 0, 0
